Admin,State of Grace,27 King St MELBOURNE,4.4,0
Admin,Royal Melbourne Hotel,629 Bourke St MELBOURNE,3.9,0
Admin,Network Public Bar,Southern Cross Station 99 Spencer St DOCKLANDS,4.2,0
Admin,The Bottom End,120 Spencer Street MELBOURNE,5,2
